Text,One_Hot_Label,Emotion_Label,Character_Count,Word_Count
when my aunt whom i had loved very much died when i heard about her death i was not as touched as at the funeral i really became conscious of her death at that moment,"[0, 0, 0, 1, 0, 0, 0]",sadness,172,35
a friend told me how he managed to win the sympathy of as many people as possible he said he first listened to what they said and then he tried to only say things they would like to hear he would never express his own opinion i felt really disgusted when he told that,"[0, 0, 0, 0, 1, 0, 0]",disgust,271,54
in a restaurant i made the acquaintance of a boy who always told the same things in a very loud voice i laughed and said to him that he always repeated the same things some time later i heard that he had undergone a complicated brain operation,"[0, 0, 0, 0, 0, 1, 0]",shame,247,47
after closing the front door i realized that i had left the key inside the house i felt even more guilty since it was not my own house but the house of people i hardly knew,"[0, 0, 0, 0, 0, 0, 1]",guilt,174,36
on our way to france my girlfriend and i went to verona by chance we met an italian couple they gave us two tickets for the dress rehearsal of aida it was a different world for us full of fascination after the representation we ate a phantastic pizza in a restaurant near the arena,"[1, 0, 0, 0, 0, 0, 0]",joy,296,54
on a mountain tour my girlfriend and i passed by an inn near the house there was a big dog which began to follow us as my girlfriend is afraid of dogs i had to draw his attention to me he jumped towards my shoulders and wanted to play with me but i really did not like that,"[0, 1, 0, 0, 0, 0, 0]",fear,279,58
i arrived in vienna in the middle of the night i asked for some silly information as i realized myself afterwards and the inquiry clerk reacted in a very arrogant manner,"[0, 0, 1, 0, 0, 0, 0]",anger,176,33
i had to leave my girlfriend for NUM weeks because of my studies this happens frequently the last NUM hours before my departure are always very depressing,"[0, 0, 0, 1, 0, 0, 0]",sadness,154,27
when i stayed in the house of friends i washed my face and wanted to dry it with a towel this towel seemed to have been used over a long time already it smelled indefinably awful,"[0, 0, 0, 0, 1, 0, 0]",disgust,182,36
a friend of mine has not very much money therefore once i stayed with him and his girlfriend i bought some meat but nobody wanted to go and prepare it for dinner my friend said i thought you wanted to invite us for dinner of course i said but i thought by myself that it must have been enough that i had bought it,"[0, 0, 0, 0, 0, 1, 0]",shame,330,64
it happened when i still went to school i got closer to a girl but i considered it only as an affair only much later i realized how painful this must have been for the girl,"[0, 0, 0, 0, 0, 0, 1]",guilt,179,36
when i was informed that a short story i had written had been accepted for publication,"[1, 0, 0, 0, 0, 0, 0]",joy,87,16
some friends and i were crossing a street when one of my friends was seized by a car and thrown aside i had seen the car coming in our direction but i did not have enough time to react and prevent the accident,"[0, 1, 0, 0, 0, 0, 0]",fear,211,43
i wanted to clear up a misunderstanding with a friend that i had caused a third person meddled in our conversation turned my efforts to ridicule so that i did not succeed in what i had intended,"[0, 0, 1, 0, 0, 0, 0]",anger,196,37
death of my grandmother,"[0, 0, 0, 1, 0, 0, 0]",sadness,24,4
in school i had difficulties mith mathematics when i had to work for an examination i really felt disgusted,"[0, 0, 0, 0, 1, 0, 0]",disgust,110,19
i played in a stage play suddenly in front of NUM people i could not remember the words i had to say,"[0, 0, 0, 0, 0, 1, 0]",shame,104,22
one night i did not come home without telling my parents and i did not want to speak about it afterwards my mother cried i had a bad conscience and felt guilty,"[0, 0, 0, 0, 0, 0, 1]",guilt,162,32
after NUM weeks i saw my girlfriend again,"[1, 0, 0, 0, 0, 0, 0]",joy,40,8
one evening in the tramway i was afraid of two drunk men molesting my girlfriend and me,"[0, 1, 0, 0, 0, 0, 0]",fear,90,17
i went singing with a group of young people on january NUM the three magi a local custom called star singing one of the girls my girlfriend broke the star being the accompanying person i felt very angry thinking of the consequences,"[0, 0, 1, 0, 0, 0, 0]",anger,244,42
when the grandmother of my friend died in a hospital my friend was crying and i was sad too,"[0, 0, 0, 1, 0, 0, 0]",sadness,94,19
i saw a physically handicapped young man whose spittle ran out of his mouth while speaking,"[0, 0, 0, 0, 1, 0, 0]",disgust,91,16
it was in a group situation suddenly it was my turn to say something but i felt that i was not able to express myself very well i felt ashamed and blushed,"[0, 0, 0, 0, 0, 1, 0]",shame,159,33
my girlfriend results in school had become worse because i prevented her from learning we often went out etc,"[0, 0, 0, 0, 0, 0, 1]",guilt,114,19
i went shopping with my parents my father payed everything for me i was very glad,"[1, 0, 0, 0, 0, 0, 0]",joy,85,17
when i was a child i heard the floor cracking and i thought there was a burglar in our house i hid under the blanket and trembled,"[0, 1, 0, 0, 0, 0, 0]",fear,132,27
during a lecture a colleague who did not know anything about the subject got on my nerves asking silly questions,"[0, 0, 1, 0, 0, 0, 0]",anger,115,20
when my grandfathers died and i realized how much i would miss them,"[0, 0, 0, 1, 0, 0, 0]",sadness,68,13
during a football game another player who was perspiring very strongly ran into me,"[0, 0, 0, 0, 1, 0, 0]",disgust,84,14
i tried to pass an examination particularly well but i did it worse than ever i felt ashamed,"[0, 0, 0, 0, 0, 1, 0]",shame,95,18
during the military service i lost a part of an equipment i accused another person and he was rebuked and punished,"[0, 0, 0, 0, 0, 0, 1]",guilt,117,21
at a choral concert i appeared as a solist the concert5 was very good i forgot all the hard work that had been done before there remained only an undescribable joy and a feeling of warmth security etc,"[1, 0, 0, 0, 0, 0, 0]",joy,205,38
i am a cantor i sing psalms in church several weeks ago i had to sing too but the organist did not tell me in time as i did not know the psalm i was afraid and said that i could not sing,"[0, 1, 0, 0, 0, 0, 0]",fear,197,44
during the christmas holdidays i wanted to invite my brother his girlfriend and their child for dinner when i said to my brother girlfriend that i would like them to come at my place for dinner she refused and never mentioned it again as if i had never asked her,"[0, 0, 1, 0, 0, 0, 0]",anger,268,50
several years ago my brother died in an accident when i heard about it i was very sad it took years until i resigned myself to it,"[0, 0, 0, 1, 0, 0, 0]",sadness,133,27
i read a book about the situation in south africa about the terrible violations of human rights i was disgusted with the white population,"[0, 0, 0, 0, 1, 0, 0]",disgust,140,23
my p t instructor also works as a masseur he wanted to massage me therefore i had to undress for the first few times this was not easy for me i got gradually used to it,"[0, 0, 0, 0, 0, 1, 0]",shame,174,35
some time ago i took the driving test i did answer the theoretical questions very well but i failed the practical driving test it was my fault because i had not enough practice,"[0, 0, 0, 0, 0, 0, 1]",guilt,180,33
when my brother came back home after staying in hospital he had undergone an operation which had been a matter of life or death when he came home i could see him smile for the first time after may weeks,"[1, 0, 0, 0, 0, 0, 0]",joy,205,40
after a short stay in marocco we missed the ferry boat back to spain and we had to look for an accomodation by chance we met a man who offered to take us to a camping site while i was sitting in his car i was terribly afraid because i had heard of people being robbed in marocco,"[0, 1, 0, 0, 0, 0, 0]",fear,281,57
after an exhausting day i came home and wanted to take a bath to relax my father wanted to take a bath first and when he had finished after an hour there was no hot water left for me,"[0, 0, 1, 0, 0, 0, 0]",anger,185,39
i met some nice people during my holdidays when they left i knew that i would never see them again,"[0, 0, 0, 1, 0, 0, 0]",sadness,100,20
a drunk man attacked his wife and wanted to humiliate her by insulting her then he turned violent and started to beat her in front of her child she left it happen without saying a word in order not to make things worse i watched the scene and tried to calm the man but without success just because he was stronger we had to comply from that day i detested him,"[0, 0, 0, 0, 1, 0, 0]",disgust,366,71
for a medical check up we boys and girls had to take off our clothes with the exception of our underwear then we had to go into another classroom where older pupils were sitting and staring at us,"[0, 0, 0, 0, 0, 1, 0]",shame,202,39
i allowed my little brother to clean the bathroom in his own way my mother came and saw the floor overflowed with water slapped my brother in the face and told him to go to bed immediately,"[0, 0, 0, 0, 0, 0, 1]",guilt,191,37
one day i did not feel very well and i wanted to talk to somebody a friend invited me for dinner and i was very glad,"[1, 0, 0, 0, 0, 0, 0]",joy,118,26
i was driving my car and it was very misty it was in the night and i was alone in my car i felt totally insecure nervous and overstrained,"[0, 1, 0, 0, 0, 0, 0]",fear,141,29
my mother treated me unjustly as if i was a little child i said mean things i was unable to defend myself adequately,"[0, 0, 1, 0, 0, 0, 0]",anger,119,23
when my uncle died whom i had loved very much i was very sad and i felt totally helpless,"[0, 0, 0, 1, 0, 0, 0]",sadness,90,19
i watched the news at the tv it was a commentary about hainburg i felt disgusted when i heard members of the union speak about the situation,"[0, 0, 0, 0, 1, 0, 0]",disgust,147,27
i took the tram without paying there were many people around me when i was caught by a controller i felt ashamed but also angry,"[0, 0, 0, 0, 0, 1, 0]",shame,130,25
i behaved in a nasty manner towards a friend i said things which i could have said in a more friendly way after that i felt guilty,"[0, 0, 0, 0, 0, 0, 1]",guilt,133,27
a friend of mine often had difficulties with her parents once she had a child she had a better relationship with them,"[1, 0, 0, 0, 0, 0, 0]",joy,119,22
once our school class went skiing on a steep slope a boy standing behind me lost his balance fell down and drew me with him i slided down the whole slope at about NUM m distance from a tree i could stop,"[0, 1, 0, 0, 0, 0, 0]",fear,205,42
it happened in a tram some older people started to grumble about the young people just because i had not immediately left my seat to them,"[0, 0, 1, 0, 0, 0, 0]",anger,139,26
when i was younger i was very good in apparatus gymnastics i always won in competitions but once i was only at the fourth place,"[0, 0, 0, 1, 0, 0, 0]",sadness,130,25
a friend was assaulted by a young man on her way home,"[0, 0, 0, 0, 1, 0, 0]",disgust,54,12
some men were talking about me and my sister,"[0, 0, 0, 0, 0, 1, 0]",shame,45,9
during my holidays i had a boyfriend who turned away from me outwardly therefore i danced with another man and raised certain hopes in him after a while i had to explain to him the circumstances,"[0, 0, 0, 0, 0, 0, 1]",guilt,196,36
i received a letter and a christmas present from a person i had not seen for two years,"[1, 0, 0, 0, 0, 0, 0]",joy,87,18
i was at home alone and my mother had asked me to heat the house i put too much fuel into the stove it began to glow and there was a noise in the whole house as if it was going to explode,"[0, 1, 0, 0, 0, 0, 0]",fear,190,43
at the end of my holiday job i got less money than was due to me and nobody mentioned anything about that,"[0, 0, 1, 0, 0, 0, 0]",anger,106,22
my little cat which i had raised all by myself hanged itself when playing in the garden,"[0, 0, 0, 1, 0, 0, 0]",sadness,89,17
at school a classmate who was a very good pupil had to help another boy who performed less well he told him on purpose the wrong things so that he had to repeat a year,"[0, 0, 0, 0, 1, 0, 0]",disgust,169,35
when i was a child i played my mother a nasty trick to make her feel hurt,"[0, 0, 0, 0, 0, 1, 0]",shame,74,17
i had promised my friend to take her to an important appontment but i was late so she missed the opportunity to get a wellpayed holiday job,"[0, 0, 0, 0, 0, 0, 1]",guilt,141,27
i have a boyfriend and i am very fond of him when we had our NUM months jubilee i had forgotten it but he gave me a red rose,"[1, 0, 0, 0, 0, 0, 0]",joy,131,28
when i was a child i was afraid of big dogs one day when i came home a big dog was laying in front of our door i was so frightened that i did not dare to enter the door and i waited until somebody passed by,"[0, 1, 0, 0, 0, 0, 0]",fear,209,47
i share my small flat with my friend on her birthday we could not see each other until evening because we had to stay at the university all day in the evening i left a lecture before it finished to be able to buy flowers for her when i was at home she called me to tell me that she would stay the night with her boyfriend,"[0, 0, 1, 0, 0, 0, 0]",anger,325,67
when i was a child i had a grass parakeet i liked very much his legs were crippled so that he could not move very fast once i came into the room did not notice him and stepped on him a few days later he died,"[0, 0, 0, 1, 0, 0, 0]",sadness,212,45
when i was younger i often saw my father come home drunk he had big problems at that time once he woke me up in the middle of the night and shouted at me,"[0, 0, 0, 0, 1, 0, 0]",disgust,157,34
at school i was bad in mathematics although my teacher had admonished me to do my homework one day i had forgotten to do it when my teacher noticed it i blushed and was ashamed to be rebuked in front of the other pupils,"[0, 0, 0, 0, 0, 1, 0]",shame,224,44
when i was a child i often quarrelled with my younger sister once i became so angry that i slapped her in the face she cried and shouted so that my mother came in and scolded me,"[0, 0, 0, 0, 0, 0, 1]",guilt,180,37
after a weekend at a seminar i saw my husband again i hurried home hoping he would be there we embraced i enjoyed feeling his body,"[1, 0, 0, 0, 0, 0, 0]",joy,135,27
one evening i stayed at home all alone as we lived on the ground floor i was often afraid of burglers,"[0, 1, 0, 0, 0, 0, 0]",fear,104,21
one day when riding on a bicycle path a car coming from the opposite direction forced me to get off my bike although i had the priority,"[0, 0, 1, 0, 0, 0, 0]",anger,138,27
my father died unexpectedly at the age of NUM years he certainly would have liked to live longer i was also said because i was confronted with the fact that i would die one day too,"[0, 0, 0, 1, 0, 0, 0]",sadness,182,36
one day when i was twelve years old my brother took some slimy substance swimming on the surface of a pot of vinegar made of cider and threatened to throw it at me,"[0, 0, 0, 0, 1, 0, 0]",disgust,166,33
when i was ten years old a classmate laughed at me because i had told him that my father had retired,"[0, 0, 0, 0, 0, 1, 0]",shame,101,21
i felt guilty because i had not accomplished a thing as well as i had wanted to,"[0, 0, 0, 0, 0, 0, 1]",guilt,80,17
a party with friends on new year eve,"[1, 0, 0, 0, 0, 0, 0]",joy,39,8
when i was hitch hiking and i went with a man who drived like a madman,"[0, 1, 0, 0, 0, 0, 0]",fear,71,15
i was in hainburg in december and i was angry about the politicians and the police,"[0, 0, 1, 0, 0, 0, 0]",anger,87,16
i met again a very good friend after a year and realized that there had grown a certain distance between us,"[0, 0, 0, 1, 0, 0, 0]",sadness,108,21
when i listened to a conversation of friends talking about the power of money,"[0, 0, 0, 0, 1, 0, 0]",disgust,78,14
when my grandmother died at her funeral,"[0, 0, 0, 1, 0, 0, 0]",sadness,42,8
i read about a monk who had been murdered and put into a barrel which was filled with blood of pigs,"[0, 0, 0, 0, 1, 0, 0]",disgust,100,21
i went for a walk with a very close friend we were talking about our problems i told her lies,"[0, 0, 0, 0, 0, 1, 0]",shame,96,20
i had to tell a collegue the time for an appointment with another collegue i told her the wrong time it was obviously my fault,"[0, 0, 0, 0, 0, 0, 1]",guilt,130,26
i went to buy a bicycle with my father when i wanted to pay my father took his purse and payed,"[1, 0, 0, 0, 0, 0, 0]",joy,97,21
my mother had fallen down from a ladder when she had been gathering cherries her back was hurt just when i arrived i saw people of the life saving service giving her medical care,"[0, 1, 0, 0, 0, 0, 0]",fear,182,33
i was waiting behind a car which was going to leave the parking place because i wanted to park my car there because of uncoming traffic i had to wait for a short time another driver placed his car on the place,"[0, 0, 1, 0, 0, 0, 0]",anger,214,43
my partner left me after we had been together for a long time,"[0, 0, 0, 1, 0, 0, 0]",sadness,62,13
at a discussion a friend took a faschistic view what i had not expected,"[0, 0, 0, 0, 1, 0, 0]",disgust,77,14
at a weekend seminar my trousers suddenly burst therefore i was prevented from participating in several activities,"[0, 0, 0, 0, 0, 1, 0]",shame,118,17
when i was driving my motorbike i went into a bend incautiously and fell down i was slightly hurt the motorbike was slightly damaged,"[0, 0, 0, 0, 0, 0, 1]",guilt,135,24
before christmas i got to know a girl but our relationshop could not consolidate before the holiday therefore it was a big surprise to get a carefully hand made present from her our relationship grew closer,"[1, 0, 0, 0, 0, 0, 0]",joy,211,36
when i was a child i fell into a cellar when playing and could be freed only with big difficulties,"[0, 1, 0, 0, 0, 0, 0]",fear,102,20
i was angry about several drivers who showed an aggressive and dangerous driving habit,"[0, 0, 1, 0, 0, 0, 0]",anger,87,14
when my grandmother died i had a very deep relation to her i lived with her for several years,"[0, 0, 0, 1, 0, 0, 0]",sadness,97,19
some time ago a girl tried to make me up without any action of my part she used all possible means although i behaved refusingly she did not give up for a longer time,"[0, 0, 0, 0, 1, 0, 0]",disgust,169,34
when i went to the sauna for the first time and there were men and women,"[0, 0, 0, 0, 0, 1, 0]",shame,73,16
when i was parking my car i was not cautious and bumped into another car i caused considerable damage the driver of the other car was very angry and i let him insult me because i felt guilty,"[0, 0, 0, 0, 0, 0, 1]",guilt,193,38
a person whom i had not seen for a long time called me and invited me for a party,"[1, 0, 0, 0, 0, 0, 0]",joy,82,19
when i was walking on the street a group of drunk bawling young people approached,"[0, 1, 0, 0, 0, 0, 0]",fear,84,15
when i was house hunting another person got a flat that i would have liked too because he heaped a floot of words on the letter,"[0, 0, 1, 0, 0, 0, 0]",anger,131,25
when my grandmother died,"[0, 0, 0, 1, 0, 0, 0]",sadness,25,4
when i shoplifted a pair of earrings from coles and my mum caught me with them in my bag,"[0, 0, 0, 0, 0, 0, 1]",guilt,89,19
when my mother was tremendous on the phone and we talked for hours she was in a good mood,"[1, 0, 0, 0, 0, 0, 0]",joy,91,19
when i saw a good male friend unexpectedly after a year as i have just returned from overseas i was feeling tired looking a mess and nervous,"[0, 1, 0, 0, 0, 0, 0]",fear,143,26
when i wanted to talk to someone i liked and whom i have been told likes me by his brother and even by himself however he avoids any confrontation and is vague,"[0, 0, 1, 0, 0, 0, 0]",anger,163,32
after having left the company of someone who gave me a lot of support and made me laugh found myself alone for days on end,"[0, 0, 0, 1, 0, 0, 0]",sadness,124,25
when a boy had continued to use foul language and swearing in front of a group of my friends,"[0, 0, 0, 0, 1, 0, 0]",disgust,93,19
when i was about seven or eight i was caught having stolen a doll dress from my next door neighbour,"[0, 0, 0, 0, 0, 1, 0]",shame,102,19
feeling guilt after greed buying chocolate and pigging out to the point of feeling sick especially as i am fat,"[0, 0, 0, 0, 0, 0, 1]",guilt,113,20
when planning to marry,"[1, 0, 0, 0, 0, 0, 0]",joy,23,4
no really strong such emotion just falling off to sleep when i caught sight of a NUM cm diameter spider crawling onto the pillow beside me,"[0, 1, 0, 0, 0, 0, 0]",fear,138,26
my feelings towards would be in laws for their participation in recent broken relationship,"[0, 0, 1, 0, 0, 0, 0]",anger,91,12
recent break up of seriors long term relationship helped along by would be in laws,"[0, 0, 0, 1, 0, 0, 0]",sadness,85,11
no very strong such emotion treatment of my sister by her dancing instructor he is a user i e takes advantage of her good nature,"[0, 0, 0, 0, 1, 0, 0]",disgust,139,25
after failing a second attempt at med NUM following a number of difficult personal circumstances,"[0, 0, 0, 0, 0, 1, 0]",shame,96,15
failure to complete medical course as a result of failing fourth year twice,"[0, 0, 0, 0, 0, 0, 1]",guilt,76,13
when wayne and sue close friends were announced our guardians at ther wedding,"[1, 0, 0, 0, 0, 0, 0]",joy,80,13
car accident nearly occurred between us and drunk driver coming in opposite direction it missed us by approx NUM m and collided after rolling twice midair into nearby scrub,"[0, 1, 0, 0, 0, 0, 0]",fear,173,29
when boyfriend lied to me,"[0, 0, 1, 0, 0, 0, 0]",anger,26,5
when my boyfriend took me to his father grave,"[0, 0, 0, 1, 0, 0, 0]",sadness,48,9
on boat trip saw mother giving young child aprox NUM NUM years cigarettes,"[0, 0, 0, 0, 1, 0, 0]",disgust,74,13
when harassed by this boy it was sexual refer to guilt,"[0, 0, 0, 0, 0, 1, 0]",shame,59,12
when in grade NUM late home from school every day for weeks because of harassment from a grade NUM boy i lied to mother about why i was home late,"[0, 0, 0, 0, 0, 0, 1]",guilt,143,30
getting a part time job,"[1, 0, 0, 0, 0, 0, 0]",joy,24,4
small car accident black ice on the road cars in front of us started zig zagging and so did we car in front did a NUM turn we followed and ended up in a gully,"[0, 1, 0, 0, 0, 0, 0]",fear,164,35
people hunting animals,"[0, 0, 1, 0, 0, 0, 0]",anger,23,3
when my grandfather was sick and died i felt more sad though when he was sick,"[0, 0, 0, 1, 0, 0, 0]",sadness,81,16
people spitting in railway stations,"[0, 0, 0, 0, 1, 0, 0]",disgust,36,5
falling over,"[0, 0, 0, 0, 0, 1, 0]",shame,13,2
eating too much i felt guilty afterwards because i knew i should not have overeaten as i am putting on too much weight,"[0, 0, 0, 0, 0, 0, 1]",guilt,117,21
when my last year second semester results came through i was ecstatic,"[1, 0, 0, 0, 0, 0, 0]",joy,74,13
i was sleeping in my room but woke in the middle of the night to think i could hear noises and see shadows moving i felt that someone was in the house,"[0, 1, 0, 0, 0, 0, 0]",fear,152,32
at school a couple of years ago a so called acquaintance told lies about me to a teacher i was told about it by friends who overheard the conversation,"[0, 0, 1, 0, 0, 0, 0]",anger,153,28
my grandfather died he lived almost as a recluse not caring for himself as well as he should dad and we all helped as much as we could but it did not save him from himself it was an unexpected death his second de facto wife was lucky she was not jailed,"[0, 0, 0, 1, 0, 0, 0]",sadness,257,51
in my penultimate job i was responsible of a sections with several employers after several years of dedication i was dismissed by a new chef saying that i was incompetent,"[0, 0, 0, 1, 0, 0, 0]",sadness,173,30
i assisted to a scene where the police attacked a person that did not have his documents the savagery was too much and the attacked person bleeded to much,"[0, 0, 0, 0, 1, 0, 0]",disgust,156,28
in a party of friends i got completely drunk,"[0, 0, 0, 0, 0, 1, 0]",shame,45,9
once in my homes yard i was plaing football with my cousin and in a certain quick the ball went on uncontrolled putting down a bird cage killing it,"[0, 0, 0, 0, 0, 0, 1]",guilt,150,28
when i get something that seemed very hard like getting a job a boyfriend etc a specific sutuations was when i started to date a boy whom i liked for a long time,"[1, 0, 0, 0, 0, 0, 0]",joy,166,33
when i had to assume a position which i did not expect,"[0, 1, 0, 0, 0, 0, 0]",fear,54,11
when i was dismissed unjustly from the firm where i worked because there where persons that did not have problems and would not miss in the jobs they occupied if they were dismissed,"[0, 0, 1, 0, 0, 0, 0]",anger,182,31
i felt very sad when i had to give up something that by right was mine and although i did not get it a kind of suvenir that people do not give you the right to have,"[0, 0, 0, 1, 0, 0, 0]",sadness,164,35
the acts of brutal violence in generally disgusts me fights phisical aggrssion etc,"[0, 0, 0, 0, 1, 0, 0]",disgust,86,13
i felt ashamed when in a certain occasion i had to read a text and did not stop stuttering,"[0, 0, 0, 0, 0, 1, 0]",shame,90,18
when i was reproved eighth grade of high school,"[0, 0, 0, 0, 0, 0, 1]",guilt,48,9
when i talked with a teacher yesterday who to say the least was rude and unwise and had irrelevant opinions about a friend,"[0, 0, 1, 0, 0, 0, 0]",anger,125,23
the loss of the woman who loved me most till today,"[0, 0, 0, 1, 0, 0, 0]",sadness,51,11
in a sexual experience with an unknown woman where after the sexual act i only could go away without looking backwards,"[0, 0, 0, 0, 1, 0, 0]",disgust,119,21
when i wanted to kiss a friend and did not succeed i felt shame,"[0, 0, 0, 0, 0, 1, 0]",shame,64,13
on a telephone talk where i was agressive and stupid without the least reason or better motive,"[0, 0, 0, 0, 0, 0, 1]",guilt,96,17
when i succeed in writing something i felt and doing it i felt well and very happy for being able to express to myself something that was suffocating me,"[1, 0, 0, 0, 0, 0, 0]",joy,153,29
when i crashed my car,"[0, 1, 0, 0, 0, 0, 0]",fear,22,5
when in a difficult moment i could not express myself correctly and my thought came out with distortions bringing about highly negative and distorted results,"[0, 0, 1, 0, 0, 0, 0]",anger,157,24
when i heard about the death of somebody i liked very much and i was not present either to see the person or to try to share my emotions with other friends,"[0, 0, 0, 1, 0, 0, 0]",sadness,156,32
when i saw a woman subjugated by money and not being able to hide how she hated herself for not having the will power to get out of such a situation because it was convenient according to what she told me,"[0, 0, 0, 0, 1, 0, 0]",disgust,206,41
when somebody suddenly said something about me at a wrong moment and i did not agree at that exact moment i was needing an extremely positive word,"[0, 0, 0, 0, 0, 1, 0]",shame,150,26
when my mother surprised me while masturbating,"[0, 0, 0, 0, 0, 1, 0]",shame,47,7
i forgot to water the flowers in our flat and was rebuked by my friends who share the flat with me,"[0, 0, 0, 0, 0, 0, 1]",guilt,99,21
after my final examination at school i was glad that the examination was over and that i had passed it,"[1, 0, 0, 0, 0, 0, 0]",joy,103,20
when i was a child i had a nightmare at that time i was not yet able to tell anybody about it so i was very frightened i could not explain myself all that and i had to deal with it by myself,"[0, 1, 0, 0, 0, 0, 0]",fear,196,43
i was angry with a person who behaved terribly at a ball offending her relatives,"[0, 0, 1, 0, 0, 0, 0]",anger,81,15
when my grandfather died when i heard about his death i had a bad feeling in my stomach and i felt as if i had lost something very precious,"[0, 0, 0, 1, 0, 0, 0]",sadness,142,29
my brother caught a spider and let his frog eat it,"[0, 0, 0, 0, 1, 0, 0]",disgust,51,11
once i spoke without thinking very much it was quite a nonsense,"[0, 0, 0, 0, 0, 1, 0]",shame,66,13
i was not sure whether i should help an old woman going down a flight of stairs i just watched her and saw how difficult it was for her to do it,"[0, 0, 0, 0, 0, 0, 1]",guilt,146,32
for about one year i had a rather bad relation with my father last christmas eve he invited me to stay withhim and i was very glad about it it was a fine evening,"[1, 0, 0, 0, 0, 0, 0]",joy,164,34
i live outside graz so i have to go by bus one day i went home from the bus stop alone it was dark i had to go through a forest and there was a dark figure behind me i was very frightened,"[0, 1, 0, 0, 0, 0, 0]",fear,194,44
my sister had promised to help me to do a translation from english into german but the day i needed her she told me that she was busy i was very angry,"[0, 0, 1, 0, 0, 0, 0]",anger,154,33
several years ago my mother died she had been ill for a long time but nevertheless her death came unexpectedly i did not and i still do not want to believe that it is true,"[0, 0, 0, 1, 0, 0, 0]",sadness,175,35
i have a horror of spiders and snakes on a walk through the wood i saw the body of a slow worm without the head,"[0, 0, 0, 0, 1, 0, 0]",disgust,115,24
i came home from a party rather drunk i said things i would never have said normally next morning i was terribly ashamed about what i had said,"[0, 0, 0, 0, 0, 1, 0]",shame,145,28
an accident happened to my little cousin because i had not taken enough care of her she fell on the floor and her hands were hurt,"[0, 0, 0, 0, 0, 0, 1]",guilt,131,26
i had a little cat which was very sick as i liked it very much i went to a veterinary with it he told me how to tend it and it really recovered its health everybody said that i had saved its life,"[1, 0, 0, 0, 0, 0, 0]",joy,199,43
when i was a child i had a terrible nightmare with st nicholas' devil servant i asked my mother if he really existed and she said yes the following nights i could not sleep and a light had to be left turned on,"[0, 1, 0, 0, 0, 0, 0]",fear,214,43
as i usually do not start learning until a short time before an examination i once made up my mind to try to work for a longer time but once again i did not do it and got a bad mark,"[0, 0, 1, 0, 0, 0, 0]",anger,187,42
a friend told me about his cousin who is my girlfriend he said she had treated him in a mean and nasty way i was surprised because in front of other people she had always treated him in a friendly way i am very sad about it,"[0, 0, 0, 1, 0, 0, 0]",sadness,227,47
i went out with my sister her boyfriend and his friend i did not like this young man but suddenly he overcame me and kissed me he was very strong so that i could not defend myself,"[0, 0, 0, 0, 1, 0, 0]",disgust,184,37
during the oral part of my final examination i made a mistake in speaking so that all the teachers laughed at me,"[0, 0, 0, 0, 0, 1, 0]",shame,113,22
there was a time when i did not get on well with my sister i always grumbled at her and said bad things about her to my mother so my mother always scolded her,"[0, 0, 0, 0, 0, 0, 1]",guilt,161,34
when i passed my final examination at school,"[1, 0, 0, 0, 0, 0, 0]",joy,45,8
when i was on a cave excursion with friends i suddenly lost them and was afraid of losing my way in the cave,"[0, 1, 0, 0, 0, 0, 0]",fear,110,23
when i felt being treated unjustly by a teacher,"[0, 0, 1, 0, 0, 0, 0]",anger,48,9
when my grandmother died i had a stronger relation to her than to my mother,"[0, 0, 0, 1, 0, 0, 0]",sadness,77,15
when i was molested by an old drunk man,"[0, 0, 0, 0, 1, 0, 0]",disgust,40,9
when i had a latin examination in school,"[0, 0, 0, 0, 0, 1, 0]",shame,41,8
when i had drunk too much and nearly got an alcohol poisoning,"[0, 0, 0, 0, 0, 0, 1]",guilt,62,12
when i met my girlfriend again in another town after a long separation,"[1, 0, 0, 0, 0, 0, 0]",joy,71,13
when i went home alone early in the morning i had to go through a wood,"[0, 1, 0, 0, 0, 0, 0]",fear,72,16
a friend was unpunctual we wanted to prepare ourselves for an examination,"[0, 0, 1, 0, 0, 0, 0]",anger,75,12
when my grandparents moved to another part of the town,"[0, 0, 0, 1, 0, 0, 0]",sadness,55,10
at the butcher i saw an animal which had just been slaughtered blood was dripping on the floor,"[0, 0, 0, 0, 1, 0, 0]",disgust,98,18
in school i was very bad in running long distances and my class mates laughed at me for this reason,"[0, 0, 0, 0, 0, 1, 0]",shame,100,19
i had to take care of my little brother when i met a friend i did not pay attention to him for a certain time and he was hurt while he was playing,"[0, 0, 0, 0, 0, 0, 1]",guilt,148,33
on my birthday an old friend of mine sent me a card i had not met him for a year and i was very glad that he had thought of me,"[1, 0, 0, 0, 0, 0, 0]",joy,129,31
once i spent a night with a friend at the secondary school we told each other horror stories and suddenly we heard uncanny noises i was terribly frightened,"[0, 1, 0, 0, 0, 0, 0]",fear,158,28
when we still attended school my brother and i usually went to see our aunt and to show her our term report she rewarded us with money although my reports were as good as my brother he got more money,"[0, 0, 1, 0, 0, 0, 0]",anger,208,40
my friend was pregnant but lost her child during the second month i went to see her at hospital she was crying i felt very sorry for her,"[0, 0, 0, 1, 0, 0, 0]",sadness,142,29
when i attended school our class visited an institution for mentally and physically handicapped persons although i tried to control my feelings i was disgusted,"[0, 0, 0, 0, 1, 0, 0]",disgust,163,25
